50.6671 4.62 0 0.2 0.937 1.071 1.0854 5.161
62.4164 4.63 0 0.2 0.9 1.344 1.226 5.802
84.2913 5.02 0 0.2 1.06 1.588 1.357 6.922
98.0419 5.83 0 0.26 1.29 2.055 1.454 7.632
118.7913 6.57 0 0.28 1.71 2.808 1.585 8.833
137.7959 6.93 0 0.36 1.73 3.027 1.823 10.334
20.9168 2.94 0 0.15 0.51 0.613 0.9982 3.778
23.6671 3.15 0 0.16 0.56 0.663 0.9982 3.939
29.4164 3.04 0 0.15 0.5 0.604 1.1391 4.23
39.1664 3.11 0 0.15 0.501 0.553 1.28 4.13
28.1671 2.53 0 0 0.1 0.257 1.2681 4.313
38.2916 2.56 0 0 0.1 0.255 1.409 4.806
31.0413 3.07 0 0.19 0.52 0.649 1.1391 4.344
31.7913 3.21 0 0.18 0.55 0.68 1.1391 4.346
35.9168 3.46 0 0.19 0.61 0.728 1.1391 4.565
36.9164 3.56 0 0.17 0.62 0.829 1.0305 4.59
50.4164 3.13 0 0.15 0.51 0.594 1.4209 5.23
59.7919 3.09 0 0.15 0.5 0.591 1.562 5.72
25.9171 2.43 0 0 0 0 1.3767 4.182
55.4168 2.5 0 0 0 0 1.7994 5.696
89.0419 2.5 0 0 0 0 2.363 7.71
116.1648 2.57 0 0 0 0 2.9266 9.74
138.9144 2.56 0 0 0 0 3.4902 11.76
