% logpL ΔHvap logKh-a logKo-a logKOC-a logKa-w logSwL logKo-w logKOC-w logKDOC-w logBCF 
2.760		4.182		2.820	2.140	-2.770	5.650		4.240	
2.240	53.900	4.686		3.410	2.270	-3.380	6.250		4.570	
1.720	58.000	5.191		3.910	2.190				5.200	
1.190	62.000	5.696		4.380	2.320				5.480	
4.260		2.907			1.171	-0.302	3.370			
2.880		4.329				-1.150	4.450			
		6.190								
4.113		2.917					2.750			
		6.055					5.500			
3.665		3.319								
		4.380								
5.580		0.057			-0.158	3.398	0.510			
4.887		1.752					2.580			
4.390		2.440					2.330			
		4.606								
7.368		-0.819	-0.950		2.323	1.692	1.180			
7.081		-0.120			2.267	1.402	1.680			
4.140		2.722			-0.166	0.820	2.640			
2.103		4.708			0.191	-1.483				
4.160		2.823	2.790		0.040	0.730	2.770			
3.600		3.290	3.400		-1.320	1.530	2.340			
0.924		4.718	4.470		-1.010		3.930			
-1.120	70.500	7.590	7.740		-3.830	-0.610	3.700	3.070	3.260	4.140
1.500		5.421			-0.376		4.780	4.730		
0.903		5.725			0.043		5.040			
		1.750				1.484	2.100			
3.748		3.105			-0.448	0.802	2.750			
1.707		5.143			0.376	-2.063	4.890			
3.810		2.886	3.070		-1.200	1.820	1.880			
2.860		3.784			-1.720	1.090	2.670			
		6.930								
2.200		3.857			-1.879	0.700	2.300			
1.803		4.300					2.710			
2.271		4.620			0.060					
		6.269								
3.268		3.628			-0.166	0.041				
4.100		2.786			-0.650	1.350	2.170			
3.570		3.325			-0.600	0.780	2.690			
2.650	47.900	4.230	4.090	3.100	-0.400	-0.430	3.690	2.870		
2.150	53.500	4.130		3.530	-0.290	-0.950	4.380	3.395		
1.650		5.230		4.030	-0.150	-1.590	4.900	3.660		
0.130		6.714			0.330	-3.590	6.340			
-0.880	77.600	7.708			0.670	-4.940	7.400			
4.013		2.788			-0.589	1.205	2.270			
4.043		2.776				1.000	2.210			
		2.766								
		2.880								
		2.730								
2.450	48.000	4.410	4.120	3.810	-0.892	-0.080	3.470	2.470		3.900
2.324	47.300	4.435	4.460	3.870	-1.016	-0.026	3.450	2.655	2.920	3.780
2.300	49.200	4.518	4.360	4.010	-1.144	-0.050	3.400	2.591		3.760
1.580	55.100	5.248	4.950	4.510	-1.137	-0.780	4.060	3.249	3.110	4.286
-1.320	79.740	7.660	7.380	6.500	-1.280	-3.021	5.470	4.427	5.060	6.075
2.746		4.041			-0.996	0.453	2.990	2.390		
1.502		5.324	5.210		-1.438		3.790			
1.555		5.327			-1.295	-0.543	3.750			
0.268		6.307			-1.493		4.510			
		7.570								
2.150		4.502			-1.292	0.222	3.250	2.630		
		6.377								
-0.241		6.255					4.110			
1.559	55.567	5.161	5.370	4.660	-1.737	-0.091	3.410	2.868	2.700	
0.920		5.802		5.480	-1.715	-0.710	3.870	3.360	3.300	
0.397	74.200	6.180	6.430		-2.290	-0.528	3.610			
0.172	58.800	6.469	6.310	5.750	-2.127	-0.899	3.920	3.850		4.833
-0.003	65.400	6.720		5.800	-2.364	-1.033	4.310	3.400	3.900	4.580
-0.261	71.000	6.922	6.840		-2.403	-1.194	4.180	3.680		4.390
-1.096	76.400	7.632	7.620	7.170	-2.762	-1.670	4.570	4.344	4.780	4.655
-2.242	85.600	8.833	8.650		-3.161	-2.357	5.180	4.909	5.550	5.643
-3.441	103.800	10.290	8.690		-3.308	-3.139	5.910	5.300	6.280	6.505
-4.584	96.900	10.334	9.850		-3.670	-3.536	5.790	5.410		6.435
-1.451	78.400	8.280	7.930		-1.960	-2.905	5.560	4.630	5.830	6.110
-1.889	85.100	9.350	8.220		-1.902	-2.994	5.790	5.346	6.050	6.284
-2.490	92.600	8.800	8.900		-1.770	-3.986	6.500	5.810	6.510	6.720
-2.775	87.030	9.400	9.800		-1.836	-3.442	6.490		6.700	6.890
-3.335	101.300	10.220	9.760		-1.745	-4.599	6.730		7.020	7.335
-3.236	98.200	10.080	9.520		-1.670	-4.252	6.900	6.400	6.880	7.180
-4.018	104.300	10.890	10.120		-1.826	-4.970	7.210		7.120	7.570
-2.771		9.420	9.680		-2.771	-3.079	6.217			
