  -1.8723108e+00   0.0000000e+00   6.3070682e+00   6.5767254e-02   0.0000000e+00   1.7421614e-01   3.0083998e-01   9.8559663e-01
   1.5984110e+01   0.0000000e+00   1.4295130e+01   5.2338332e-01   0.0000000e+00   1.2409643e+00   3.0368684e+00   9.7997648e-01
   1.9259274e+00  -8.6861824e-01   2.4139743e-01   9.7715873e-04   6.6232679e-03   3.5820401e-03   4.3019838e-03   9.9999701e-01
   1.7708519e+00   0.0000000e+00   5.0978052e-01   6.9616049e-02   0.0000000e+00   1.4252518e-01   2.4435027e-01   9.8933759e-01
   1.7729223e+00   1.6476833e+00   1.8613224e-01   4.5827694e-02   3.2386447e-01   1.2739392e-01   2.2552936e-01   9.9198493e-01
  -2.0362859e-01  -7.0390741e+00  -5.1319781e-01   1.1617049e-01   6.8872569e-01   3.1773583e-01   5.0690877e-01   8.6772768e-01
  -1.6091851e+00   6.8784015e+00   3.3574352e+00   1.0822924e-01   7.4754433e-01   2.9852185e-01   5.0444997e-01   9.2747134e-01
   1.3772943e+00  -6.3969302e+00   3.3909509e-01   7.7175735e-02   6.2533385e-01   1.8639119e-01   3.7042548e-01   9.4558549e-01
   1.3028105e+00  -4.1519225e+00  -2.1492875e-01   6.0485541e-02   4.3141572e-01   1.4075038e-01   3.2058712e-01   9.5538557e-01
   1.4912014e+00  -4.6174352e+00  -3.0609089e-01   7.2435995e-02   4.8426795e-01   1.8868128e-01   3.8886627e-01   9.5039070e-01
   1.3602641e+00  -4.5264614e+00   6.5551849e-01   6.9897984e-02   5.0506017e-01   1.8641754e-01   3.5488888e-01   9.4980726e-01
